trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-12-23,8340,8291.988566697335,,STB,DIY,MV
2016-12-26,8350,8320.994283348668,,STB,DIY,MV
2016-12-27,8600,8460.497141674334,,STB,DIY,MV
2016-12-28,9100,8780.248570837168,,STB,DIY,MV
2016-12-29,9400,9090.124285418584,,STB,DIY,MV
2016-12-30,9450,9270.062142709292,,STB,DIY,MV
2017-01-03,8790,9030.031071354646,,STB,DIY,MV
2017-01-04,8200,8615.015535677323,,STB,DIY,MV
2017-01-05,8580,8597.507767838662,,STB,DIY,MV
2017-01-06,8780,8688.753883919331,,STB,DIY,MV
2017-01-09,8990,8839.376941959665,,STB,DIY,MV
2017-01-10,9000,8919.688470979832,,STB,DIY,MV
2017-01-11,9030,8974.844235489916,,STB,DIY,MV
2017-01-12,9040,9007.422117744958,,STB,DIY,MV
2017-01-13,8950,8978.711058872479,,STB,DIY,MV
2017-01-16,8960,8969.35552943624,,STB,DIY,MV
2017-01-17,9240,9104.677764718119,,STB,DIY,MV
2017-01-18,9450,9277.33888235906,,STB,DIY,MV
2017-01-19,9590,9433.669441179529,,STB,DIY,MV
2017-01-20,9500,9466.834720589764,,STB,DIY,MV
2017-01-23,9550,9508.417360294883,,STB,DIY,MV
2017-01-24,9850,9679.208680147442,,STB,DIY,MV
2017-01-25,10200,9939.604340073722,,STB,DIY,MV
2017-02-02,10050,9994.80217003686,,STB,DIY,MV
2017-02-03,10050,10022.401085018431,,STB,DIY,MV
2017-02-06,9950,9986.200542509216,,STB,DIY,MV
2017-02-07,9870,9928.100271254607,,STB,DIY,MV
2017-02-08,10000,9964.050135627303,,STB,DIY,MV
2017-02-09,10200,10082.02506781365,,STB,DIY,MV
2017-02-10,10200,10141.012533906825,,STB,DIY,MV
2017-02-13,10000,10070.506266953413,,STB,DIY,MV
2017-02-14,10100,10085.253133476706,,STB,DIY,MV
2017-02-15,9950,10017.626566738352,,STB,DIY,MV
2017-02-16,10450,10233.813283369176,,STB,DIY,MV
2017-02-17,11000,10616.906641684589,,STB,DIY,MV
2017-02-20,11050,10833.453320842294,,STB,DIY,MV
2017-02-21,10850,10841.726660421147,,STB,DIY,MV
2017-02-22,10950,10895.863330210574,,STB,DIY,MV
2017-02-23,11050,10972.931665105287,,STB,DIY,MV
2017-02-24,10300,10636.465832552643,,STB,DIY,MV
2017-02-27,10450,10543.232916276322,,STB,DIY,MV
2017-02-28,10300,10421.61645813816,,STB,DIY,MV
2017-03-01,10200,10310.80822906908,,STB,DIY,MV
2017-03-02,10200,10255.40411453454,,STB,DIY,MV
2017-03-03,10900,10577.70205726727,,STB,DIY,MV
2017-03-06,10800,10688.851028633635,,STB,DIY,MV
2017-03-07,10500,10594.425514316817,,STB,DIY,MV
2017-03-08,10600,10597.21275715841,,STB,DIY,MV
2017-03-09,10450,10523.606378579205,,STB,DIY,MV
2017-03-10,10450,10486.803189289603,,STB,DIY,MV
2017-03-13,10550,10518.401594644802,,STB,DIY,MV
2017-03-14,10450,10484.2007973224,,STB,DIY,MV
2017-03-15,10350,10417.100398661201,,STB,DIY,MV
2017-03-16,10350,10383.5501993306,,STB,DIY,MV
2017-03-17,10300,10341.775099665301,,STB,DIY,MV
2017-03-20,10550,10445.88754983265,,STB,DIY,MV
2017-03-21,10700,10572.943774916326,,STB,DIY,MV
2017-03-22,10750,10661.471887458163,,STB,DIY,MV
2017-03-23,11400,11030.735943729082,,STB,DIY,MV
2017-03-24,11400,11215.36797186454,,STB,DIY,MV
2017-03-27,11400,11307.68398593227,,STB,DIY,MV
2017-03-28,11150,11228.841992966136,,STB,DIY,MV
2017-03-29,11200,11214.420996483068,,STB,DIY,MV
2017-03-30,11250,11232.210498241533,,STB,DIY,MV
2017-03-31,11450,11341.105249120767,,STB,DIY,MV
2017-04-03,12250,11795.552624560383,,STB,DIY,MV
2017-04-04,12400,12097.776312280192,,STB,DIY,MV
2017-04-05,12300,12198.888156140096,,STB,DIY,MV
2017-04-07,13150,12674.444078070048,,STB,DIY,MV
2017-04-10,12800,12737.222039035023,,STB,DIY,MV
2017-04-11,12650,12693.611019517512,,STB,DIY,MV
2017-04-12,12750,12721.805509758757,,STB,DIY,MV
2017-04-13,11900,12310.902754879378,,STB,DIY,MV
2017-04-14,11600,11955.45137743969,,STB,DIY,MV
2017-04-17,11200,11577.725688719845,,STB,DIY,MV
2017-04-18,11300,11438.862844359923,,STB,DIY,MV
2017-04-19,11600,11519.431422179961,,STB,DIY,MV
2017-04-20,11600,11559.71571108998,,STB,DIY,MV
2017-04-21,11250,11404.85785554499,,STB,DIY,MV
2017-04-24,10500,10952.428927772495,,STB,DIY,MV
2017-04-25,11100,11026.214463886248,,STB,DIY,MV
2017-04-26,11850,11438.107231943124,,STB,DIY,MV
2017-04-27,12400,11919.053615971563,,STB,DIY,MV
2017-04-28,11550,11734.526807985781,,STB,DIY,MV
2017-05-03,11650,11692.26340399289,,STB,DIY,MV
2017-05-04,12150,11921.131701996444,,STB,DIY,MV
2017-05-05,12100,12010.565850998222,,STB,DIY,MV
2017-05-08,11750,11880.282925499112,,STB,DIY,MV
2017-05-09,11900,11890.141462749556,,STB,DIY,MV
2017-05-10,12400,12145.070731374777,,STB,DIY,MV
2017-05-11,12350,12247.535365687389,,STB,DIY,MV
2017-05-12,12200,12223.767682843694,,STB,DIY,MV
2017-05-15,12650,12436.883841421848,,STB,DIY,MV
2017-05-16,12350,12393.441920710924,,STB,DIY,MV
2017-05-17,12500,12446.720960355462,,STB,DIY,MV
2017-05-18,12450,12448.360480177731,,STB,DIY,MV
2017-05-19,12400,12424.180240088866,,STB,DIY,MV
2017-05-22,12700,12562.090120044433,,STB,DIY,MV
2017-05-23,12400,12481.045060022218,,STB,DIY,MV
2017-05-24,12550,12515.522530011109,,STB,DIY,MV
2017-05-25,12400,12457.761265005554,,STB,DIY,MV
2017-05-26,12300,12378.880632502776,,STB,DIY,MV
2017-05-29,12700,12539.440316251388,,STB,DIY,MV
2017-05-30,12600,12569.720158125694,,STB,DIY,MV
2017-05-31,12500,12534.860079062848,,STB,DIY,MV
2017-06-01,12650,12592.430039531424,,STB,DIY,MV
2017-06-02,12400,12496.215019765712,,STB,DIY,MV
2017-06-05,12700,12598.107509882855,,STB,DIY,MV
2017-06-06,13550,13074.053754941428,,STB,DIY,MV
2017-06-07,13450,13262.026877470715,,STB,DIY,MV
2017-06-08,13800,13531.013438735357,,STB,DIY,MV
2017-06-09,13900,13715.506719367679,,STB,DIY,MV
2017-06-12,13800,13757.75335968384,,STB,DIY,MV
2017-06-13,13900,13828.87667984192,,STB,DIY,MV
2017-06-14,14000,13914.43833992096,,STB,DIY,MV
2017-06-15,13750,13832.219169960481,,STB,DIY,MV
2017-06-16,13900,13866.10958498024,,STB,DIY,MV
2017-06-19,14150,14008.05479249012,,STB,DIY,MV
2017-06-20,14550,14279.02739624506,,STB,DIY,MV
2017-06-21,14600,14439.51369812253,,STB,DIY,MV
2017-06-22,14300,14369.756849061265,,STB,DIY,MV
2017-06-23,14200,14284.878424530632,,STB,DIY,MV
2017-06-26,14200,14242.439212265315,,STB,DIY,MV
2017-06-27,14350,14296.219606132658,,STB,DIY,MV
2017-06-28,14200,14248.109803066329,,STB,DIY,MV
2017-06-29,14100,14174.054901533164,,STB,DIY,MV
2017-06-30,13800,13987.027450766582,,STB,DIY,MV
2017-07-03,13600,13793.51372538329,,STB,DIY,MV
2017-07-04,13200,13496.756862691645,,STB,DIY,MV
2017-07-05,13450,13473.378431345824,,STB,DIY,MV
2017-07-06,13450,13461.689215672912,,STB,DIY,MV
2017-07-07,13000,13230.844607836456,,STB,DIY,MV
2017-07-10,12850,13040.422303918229,,STB,DIY,MV
2017-07-11,12600,12820.211151959114,,STB,DIY,MV
2017-07-12,12600,12710.105575979556,,STB,DIY,MV
2017-07-13,12400,12555.052787989778,,STB,DIY,MV
2017-07-14,12100,12327.526393994889,,STB,DIY,MV
2017-07-17,11700,12013.763196997445,,STB,DIY,MV
2017-07-18,12100,12056.881598498723,,STB,DIY,MV
2017-07-19,12050,12053.440799249362,,STB,DIY,MV
2017-07-20,11800,11926.72039962468,,STB,DIY,MV
2017-07-21,11700,11813.360199812341,,STB,DIY,MV
2017-07-24,11850,11831.68009990617,,STB,DIY,MV
2017-07-25,12500,12165.840049953085,,STB,DIY,MV
2017-07-26,12800,12482.920024976542,,STB,DIY,MV
2017-07-27,12650,12566.46001248827,,STB,DIY,MV
2017-07-28,12800,12683.230006244135,,STB,DIY,MV
2017-07-31,13100,12891.615003122068,,STB,DIY,MV
2017-08-01,13000,12945.807501561034,,STB,DIY,MV
2017-08-02,12550,12747.903750780517,,STB,DIY,MV
2017-08-03,12300,12523.95187539026,,STB,DIY,MV
2017-08-04,12700,12611.97593769513,,STB,DIY,MV
2017-08-07,12550,12580.987968847565,,STB,DIY,MV
2017-08-08,12200,12390.493984423782,,STB,DIY,MV
2017-08-09,11800,12095.24699221189,,STB,DIY,MV
2017-08-10,11950,12022.623496105945,,STB,DIY,MV
2017-08-11,11950,11986.311748052973,,STB,DIY,MV
2017-08-14,12100,12043.155874026486,,STB,DIY,MV
2017-08-15,11900,11971.577937013244,,STB,DIY,MV
2017-08-16,12000,11985.788968506622,,STB,DIY,MV
2017-08-17,11850,11917.894484253311,,STB,DIY,MV
2017-08-18,11750,11833.947242126655,,STB,DIY,MV
2017-08-21,11700,11766.973621063327,,STB,DIY,MV
2017-08-22,11700,11733.486810531664,,STB,DIY,MV
2017-08-23,11800,11766.743405265832,,STB,DIY,MV
2017-08-24,11750,11758.371702632916,,STB,DIY,MV
2017-08-25,11800,11779.185851316459,,STB,DIY,MV
2017-08-28,11750,11764.59292565823,,STB,DIY,MV
2017-08-29,11600,11682.296462829116,,STB,DIY,MV
2017-08-30,11450,11566.148231414558,,STB,DIY,MV
2017-08-31,11700,11633.074115707279,,STB,DIY,MV
2017-09-01,11600,11616.537057853639,,STB,DIY,MV
2017-09-05,11850,11733.26852892682,,STB,DIY,MV
2017-09-06,11650,11691.63426446341,,STB,DIY,MV
2017-09-07,11750,11720.817132231705,,STB,DIY,MV
2017-09-08,11650,11685.408566115853,,STB,DIY,MV
2017-09-11,11600,11642.704283057927,,STB,DIY,MV
2017-09-12,11450,11546.352141528963,,STB,DIY,MV
2017-09-13,11500,11523.176070764483,,STB,DIY,MV
2017-09-14,11700,11611.588035382241,,STB,DIY,MV
2017-09-15,11500,11555.794017691122,,STB,DIY,MV
2017-09-18,11800,11677.89700884556,,STB,DIY,MV
2017-09-19,11750,11713.94850442278,,STB,DIY,MV
2017-09-20,11700,11706.97425221139,,STB,DIY,MV
2017-09-21,11600,11653.487126105694,,STB,DIY,MV
2017-09-22,11550,11601.743563052847,,STB,DIY,MV
2017-09-25,12300,11950.871781526424,,STB,DIY,MV
2017-09-26,12500,12225.435890763212,,STB,DIY,MV
2017-09-27,12250,12237.717945381606,,STB,DIY,MV
2017-09-28,12600,12418.858972690803,,STB,DIY,MV
2017-09-29,12500,12459.429486345402,,STB,DIY,MV
2017-10-02,12300,12379.7147431727,,STB,DIY,MV
2017-10-03,12150,12264.85737158635,,STB,DIY,MV
2017-10-04,12200,12232.428685793175,,STB,DIY,MV
2017-10-05,12100,12166.214342896586,,STB,DIY,MV
2017-10-06,12300,12233.107171448293,,STB,DIY,MV
2017-10-09,12450,12341.553585724147,,STB,DIY,MV
2017-10-10,12450,12395.776792862074,,STB,DIY,MV
2017-10-11,11650,12022.888396431037,,STB,DIY,MV
2017-10-12,11600,11811.444198215519,,STB,DIY,MV
2017-10-13,11500,11655.72209910776,,STB,DIY,MV
2017-10-16,11600,11627.86104955388,,STB,DIY,MV
2017-10-17,11450,11538.93052477694,,STB,DIY,MV
2017-10-18,11400,11469.46526238847,,STB,DIY,MV
2017-10-19,11500,11484.732631194234,,STB,DIY,MV
2017-10-20,11550,11517.366315597117,,STB,DIY,MV
2017-10-23,11300,11408.683157798558,,STB,DIY,MV
2017-10-24,11300,11354.341578899279,,STB,DIY,MV
2017-10-25,11300,11327.17078944964,,STB,DIY,MV
2017-10-26,11350,11338.58539472482,,STB,DIY,MV
2017-10-27,11350,11344.292697362409,,STB,DIY,MV
2017-10-30,11250,11297.146348681204,,STB,DIY,MV
2017-10-31,11000,11148.573174340603,,STB,DIY,MV
2017-11-01,11200,11174.286587170302,,STB,DIY,MV
2017-11-02,11300,11237.143293585152,,STB,DIY,MV
2017-11-03,11100,11168.571646792576,,STB,DIY,MV
2017-11-06,11200,11184.285823396287,,STB,DIY,MV
2017-11-07,11200,11192.142911698144,,STB,DIY,MV
2017-11-08,11200,11196.071455849073,,STB,DIY,MV
2017-11-09,11150,11173.035727924536,,STB,DIY,MV
2017-11-10,11400,11286.517863962268,,STB,DIY,MV
2017-11-13,11200,11243.258931981134,,STB,DIY,MV
2017-11-14,11150,11196.629465990567,,STB,DIY,MV
2017-11-15,11450,11323.314732995284,,STB,DIY,MV
2017-11-16,12000,11661.657366497642,,STB,DIY,MV
2017-11-17,11750,11705.828683248821,,STB,DIY,MV
2017-11-20,11850,11777.914341624411,,STB,DIY,MV
2017-11-21,11850,11813.957170812206,,STB,DIY,MV
2017-11-22,12400,12106.978585406103,,STB,DIY,MV
2017-11-23,12350,12228.489292703052,,STB,DIY,MV
2017-11-24,12400,12314.244646351526,,STB,DIY,MV
